Combination,SupplierFile,CustomerFile,Selection,Crossover,Mutation,Round,Cost_AgentA,Cost_AgentB
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,0,9704.0,2638.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,1,10523.0,2633.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,2,9891.0,2686.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,3,9815.0,2664.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,4,10027.0,2595.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,5,9496.0,2654.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,6,9905.0,2629.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,7,9431.0,2578.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,8,9483.0,2619.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,9,9311.0,2597.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,10,9425.0,2592.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,11,9801.0,2597.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,12,9498.0,2591.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,13,9818.0,2599.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,14,10055.0,2596.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,15,9458.0,2622.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,16,9847.0,2627.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,17,9307.0,2635.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,18,9490.0,2622.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,19,9621.0,2625.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,20,9572.0,2643.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,21,9503.0,2646.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,22,9472.0,2651.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,23,9174.0,2611.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,24,9021.0,2656.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,25,9796.0,2636.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,26,9158.0,2631.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,27,9519.0,2621.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,28,8906.0,2648.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,29,9072.0,2595.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,30,8960.0,2653.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,31,9384.0,2598.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,32,9204.0,2591.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,33,9622.0,2643.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,34,9535.0,2617.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,35,8976.0,2594.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,36,9332.0,2588.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,37,9039.0,2658.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,38,8870.0,2637.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,39,9034.0,2655.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,40,9687.0,2591.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,41,9599.0,2641.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,42,9143.0,2594.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,43,10299.0,2596.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,44,10089.0,2637.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,45,9430.0,2613.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,46,9636.0,2613.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,47,9473.0,2618.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,48,9506.0,2617.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,49,9453.0,2610.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,50,9757.0,2591.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,51,9658.0,2636.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,52,9720.0,2634.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,53,9277.0,2655.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,54,9542.0,2612.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,55,9642.0,2593.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,56,9587.0,2608.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,57,9564.0,2599.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,58,9046.0,2604.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,59,9249.0,2560.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,60,10172.0,2598.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,61,9283.0,2592.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,62,9669.0,2608.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,63,9696.0,2578.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,64,9527.0,2657.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,65,9374.0,2618.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,66,9859.0,2607.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,67,9791.0,2586.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,68,9803.0,2594.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,69,9181.0,2613.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,70,9224.0,2623.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,71,9434.0,2586.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,72,9360.0,2589.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,73,9515.0,2588.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,74,9787.0,2613.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,75,9122.0,2593.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,76,9107.0,2566.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,77,9535.0,2587.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,78,9504.0,2585.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,79,9977.0,2614.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,80,9490.0,2675.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,81,10101.0,2654.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,82,9602.0,2704.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,83,9731.0,2606.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,84,9936.0,2637.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,85,9629.0,2632.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,86,9731.0,2708.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,87,9791.0,2594.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,88,9696.0,2581.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,89,9748.0,2527.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,90,9711.0,2605.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,91,9851.0,2563.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,92,9047.0,2634.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,93,9732.0,2559.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,94,9749.0,2616.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,95,9370.0,2627.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,96,9236.0,2605.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,97,9349.0,2606.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,98,9458.0,2621.0
1,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,INVERSE,99,9430.0,2626.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,0,9519.0,2663.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,1,9200.0,2609.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,2,9571.0,2699.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,3,10237.0,2646.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,4,9664.0,2625.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,5,9712.0,2631.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,6,10104.0,2605.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,7,9474.0,2619.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,8,9610.0,2660.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,9,9363.0,2635.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,10,9661.0,2683.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,11,9580.0,2684.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,12,9668.0,2642.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,13,9940.0,2649.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,14,9424.0,2608.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,15,9200.0,2616.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,16,9732.0,2608.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,17,9182.0,2692.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,18,8959.0,2622.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,19,9704.0,2666.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,20,9719.0,2629.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,21,9196.0,2615.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,22,9433.0,2616.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,23,10137.0,2652.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,24,9436.0,2610.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,25,9603.0,2713.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,26,9521.0,2675.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,27,9994.0,2639.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,28,9723.0,2634.0
2,daten3ASupplier_200,daten3ACustomer_200_10,RANK,ORDER,SCRAMBLE,29,9859.0,2697.0
