Combination,SupplierFile,CustomerFile,Selection,Crossover,Mutation,Round,Cost_AgentA,Cost_AgentB,TotalCost
24,daten4ASupplier_200,daten3ACustomer_200_10,TEMPERATURE,CYCLE,DISPLACEMENT,90,15717.0,2501.0,18218.0
6,daten4BSupplier_200,daten3ACustomer_200_10,RANK,CYCLE,DISPLACEMENT,97,15868.0,2577.0,18445.0
15,daten3BSupplier_200,daten4BCustomer_200_5,TOURNAMENT,CYCLE,DISPLACEMENT,94,7969.0,9127.0,17096.0
21,daten4BSupplier_200,daten4BCustomer_200_5,TEMPERATURE,ORDER,DISPLACEMENT,78,16106.0,9294.0,25400.0
21,daten3ASupplier_200,daten3ACustomer_200_10,TEMPERATURE,ORDER,DISPLACEMENT,88,7625.0,2544.0,10169.0
21,daten4ASupplier_200,daten4BCustomer_200_5,TEMPERATURE,ORDER,DISPLACEMENT,93,15433.0,9315.0,24748.0
6,daten3ASupplier_200,daten4BCustomer_200_5,RANK,CYCLE,DISPLACEMENT,84,7900.0,9216.0,17116.0
21,daten3BSupplier_200,daten3ACustomer_200_10,TEMPERATURE,ORDER,DISPLACEMENT,78,7775.0,2507.0,10282.0
12,daten3BSupplier_200,daten4ACustomer_200_5,TOURNAMENT,ORDER,DISPLACEMENT,65,8073.0,1007.0,9080.0
24,daten4BSupplier_200,daten3BCustomer_200_20,TEMPERATURE,CYCLE,DISPLACEMENT,95,16122.0,6644.0,22766.0
21,daten4ASupplier_200,daten3BCustomer_200_20,TEMPERATURE,ORDER,DISPLACEMENT,66,15746.0,6806.0,22552.0
24,daten4BSupplier_200,daten4ACustomer_200_5,TEMPERATURE,CYCLE,DISPLACEMENT,86,15613.0,976.0,16589.0
21,daten3BSupplier_200,daten3BCustomer_200_20,TEMPERATURE,ORDER,DISPLACEMENT,91,8040.0,6582.0,14622.0
21,daten3ASupplier_200,daten3BCustomer_200_20,TEMPERATURE,ORDER,DISPLACEMENT,82,7770.0,6670.0,14440.0
21,daten4ASupplier_200,daten4ACustomer_200_5,TEMPERATURE,ORDER,DISPLACEMENT,96,15674.0,998.0,16672.0
24,daten3ASupplier_200,daten4ACustomer_200_5,TEMPERATURE,CYCLE,DISPLACEMENT,92,7890.0,984.0,8874.0
